,true_class0_percentage,true_class4_percentage,true_class2_percentage,true_class3_percentage,true_class1_percentage,predicted_class0_percentage,predicted_class4_percentage,predicted_class3_percentage,predicted_class2_percentage,predicted_class1_percentage
cluster3,0.9397590361445783,0.012048192771084338,0.03614457831325301,0.012048192771084338,0.0,0.963855421686747,0.012048192771084338,0.0,0.024096385542168676,0.0
cluster2,0.0,0.5,0.25,0.0,0.25,0.25,0.5,0.25,0.0,0.0
cluster4,0.5142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.7428571428571429,0.08571428571428572,0.08571428571428572,0.05714285714285714,0.02857142857142857
cluster1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
